GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
302,8,6.16,10,0,1.05,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0,0,53.2465068,0,0
302,8,6.16,10,0,1.05,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0,0,53.2465068,0,0
302,33,10.99,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,-0,0,0,0
302,33,10.99,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,-0,0,0,0
307,44,19,19,-15,0.9568,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,-0,0,0,0
307,44,19,19,-15,0.9568,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,-0,0,0,0
313,355,150,150,-25,1.035,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0,0.256556419,0,0,0
315,5,6,6,0,1.0422,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0,0,41.4276006,0,0
315,5,6,6,0,1.0422,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0,0,41.4276006,0,0
315,5,6,6,0,1.0422,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0,0,41.4276006,0,0
315,5,6,6,0,1.0422,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0,0,41.4276006,0,0
315,5,6,6,0,1.0422,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0,0,41.4276006,0,0
315,55,19,19,-15,1.0422,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,2.15351755,0,0,0
315,55,19,19,-15,1.0422,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,2.15351755,0,0,0
315,55,60,60,0,1.0422,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,2.15351755,0,0,0
316,155,80,80,-50,1.0449,100,1,155,62,0,0,0,0,0,0,3,3,3,3,0,6.7345867,0,0,0
318,355,63.12,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0,2.48004587,0,0,0
321,355,-3.34,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0,0.0621951858,0,0,0
322,55,-9.73,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,6.11459482,0,0,0
322,55,-9.73,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0,6.11459482,0,0,0
323,355,37.41,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0,2.28179728,0,0,0
323,355,37.41,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0,2.28179728,0,0,0
114,0,103.32,200,-50,1.0441,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0092857,0,0,0
121,400,-21.87,200,-50,1.05,100,1,400,396,0,0,0,0,0,0,20,20,20,20,0,25.905763,0,0,0
122,50,-6.79,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
122,50,-6.79,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
122,50,-6.79,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
122,50,-6.79,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
122,50,-6.79,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
122,50,-6.79,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
201,50,4.15,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
214,0,125.28,200,-50,1.05,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0092857,0,0,0
215,50,16,16,-10,1.0437,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
215,50,16,16,-10,1.0437,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
215,50,16,16,-10,1.0437,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
222,50,-6.97,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
222,50,-6.97,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
222,50,-6.97,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
222,50,-6.97,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
222,50,-6.97,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
222,50,-6.97,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
314,0,166.63,200,-50,1.05,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0092857,0,0,0
322,50,-5.13,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
322,50,-5.13,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
322,50,-5.13,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
322,50,-5.13,16,-10,1.05,100,1,50,0,0,0,0,0,0,0,50,50,50,50,0,34.0092857,0,0,0
320,0,0,0,0,1,100,0,51.6,0,0,0,0,0,0,0,51.6,51.6,51.6,51.6,0,0,0,0,0
314,0,0,0,0,1,100,0,51.6,0,0,0,0,0,0,0,51.6,51.6,51.6,51.6,0,0,0,0,0
314,0,0,0,0,1,100,0,51.6,0,0,0,0,0,0,0,51.6,51.6,51.6,51.6,0,0,0,0,0
313,0,0,0,0,1,100,0,95.1,0,0,0,0,0,0,0,95.1,95.1,95.1,95.1,0,0,0,0,0
314,0,0,0,0,1,100,0,92.7,0,0,0,0,0,0,0,92.7,92.7,92.7,92.7,0,0,0,0,0
314,0,0,0,0,1,100,0,51.6,0,0,0,0,0,0,0,51.6,51.6,51.6,51.6,0,0,0,0,0
313,0,0,0,0,1,100,0,93.3,0,0,0,0,0,0,0,93.3,93.3,93.3,93.3,0,0,0,0,0
310,0,0,0,0,1,100,0,51.7,0,0,0,0,0,0,0,51.7,51.7,51.7,51.7,0,0,0,0,0
324,0,0,0,0,1,100,0,49.7,0,0,0,0,0,0,0,49.7,49.7,49.7,49.7,0,0,0,0,0
312,0,0,0,0,1,100,0,94.1,0,0,0,0,0,0,0,94.1,94.1,94.1,94.1,0,0,0,0,0
310,0,0,0,0,1,100,0,51.6,0,0,0,0,0,0,0,51.6,51.6,51.6,51.6,0,0,0,0,0
324,0,0,0,0,1,100,0,51.6,0,0,0,0,0,0,0,51.6,51.6,51.6,51.6,0,0,0,0,0
324,0,0,0,0,1,100,0,51,0,0,0,0,0,0,0,51,51,51,51,0,0,0,0,0
113,0,0,0,0,1,100,0,93.6,0,0,0,0,0,0,0,93.6,93.6,93.6,93.6,0,0,0,0,0
319,0,0,0,0,1,100,0,188.2,0,0,0,0,0,0,0,188.2,188.2,188.2,188.2,0,0,0,0,0
215,0,0,0,0,1,100,0,125.1,0,0,0,0,0,0,0,125.1,125.1,125.1,125.1,0,0,0,0,0
102,0,0,0,0,1,100,0,25.6,0,0,0,0,0,0,0,25.6,25.6,25.6,25.6,0,0,0,0,0
101,0,0,0,0,1,100,0,25.9,0,0,0,0,0,0,0,25.9,25.9,25.9,25.9,0,0,0,0,0
102,0,0,0,0,1,100,0,25.3,0,0,0,0,0,0,0,25.3,25.3,25.3,25.3,0,0,0,0,0
104,0,0,0,0,1,100,0,26.8,0,0,0,0,0,0,0,26.8,26.8,26.8,26.8,0,0,0,0,0
212,0,0,0,0,1,100,0,200,30,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0
101,0,0,0,0,1,100,0,26.7,0,0,0,0,0,0,0,26.7,26.7,26.7,26.7,0,0,0,0,0
101,0,0,0,0,1,100,0,26.2,0,0,0,0,0,0,0,26.2,26.2,26.2,26.2,0,0,0,0,0
101,0,0,0,0,1,100,0,25.8,0,0,0,0,0,0,0,25.8,25.8,25.8,25.8,0,0,0,0,0
103,0,0,0,0,1,100,0,61.5,0,0,0,0,0,0,0,61.5,61.5,61.5,61.5,0,0,0,0,0
119,0,0,0,0,1,100,0,66.6,0,0,0,0,0,0,0,66.6,66.6,66.6,66.6,0,0,0,0,0
308,0,0,0,0,1,100,0,100.9,0,0,0,0,0,0,0,100.9,100.9,100.9,100.9,0,0,0,0,0
313,0,0,0,0,1,100,0,101.7,0,0,0,0,0,0,0,101.7,101.7,101.7,101.7,0,0,0,0,0
313,0,0,0,0,1,100,0,63.1,0,0,0,0,0,0,0,63.1,63.1,63.1,63.1,0,0,0,0,0
313,0,0,0,0,1,100,0,65.4,0,0,0,0,0,0,0,65.4,65.4,65.4,65.4,0,0,0,0,0
313,0,0,0,0,1,100,0,67,0,0,0,0,0,0,0,67,67,67,67,0,0,0,0,0
313,0,0,0,0,1,100,0,64.8,0,0,0,0,0,0,0,64.8,64.8,64.8,64.8,0,0,0,0,0
313,0,0,0,0,1,100,0,63.8,0,0,0,0,0,0,0,63.8,63.8,63.8,63.8,0,0,0,0,0
313,0,0,0,0,1,100,0,64.1,0,0,0,0,0,0,0,64.1,64.1,64.1,64.1,0,0,0,0,0
313,0,0,0,0,1,100,0,66.6,0,0,0,0,0,0,0,66.6,66.6,66.6,66.6,0,0,0,0,0
313,0,0,0,0,1,100,0,62.4,0,0,0,0,0,0,0,62.4,62.4,62.4,62.4,0,0,0,0,0
313,0,0,0,0,1,100,0,66.9,0,0,0,0,0,0,0,66.9,66.9,66.9,66.9,0,0,0,0,0
313,0,0,0,0,1,100,0,65.2,0,0,0,0,0,0,0,65.2,65.2,65.2,65.2,0,0,0,0,0
313,0,0,0,0,1,100,0,27.8,0,0,0,0,0,0,0,27.8,27.8,27.8,27.8,0,0,0,0,0
320,0,0,0,0,1,100,0,27.3,0,0,0,0,0,0,0,27.3,27.3,27.3,27.3,0,0,0,0,0
320,0,0,0,0,1,100,0,27,0,0,0,0,0,0,0,27,27,27,27,0,0,0,0,0
320,0,0,0,0,1,100,0,28.3,0,0,0,0,0,0,0,28.3,28.3,28.3,28.3,0,0,0,0,0
313,0,0,0,0,1,100,0,27.2,0,0,0,0,0,0,0,27.2,27.2,27.2,27.2,0,0,0,0,0
320,0,0,0,0,1,100,0,27,0,0,0,0,0,0,0,27,27,27,27,0,0,0,0,0
320,0,0,0,0,1,100,0,28.2,0,0,0,0,0,0,0,28.2,28.2,28.2,28.2,0,0,0,0,0
118,0,0,0,0,1,100,0,9.3,0,0,0,0,0,0,0,9.3,9.3,9.3,9.3,0,0,0,0,0
118,0,0,0,0,1,100,0,9.7,0,0,0,0,0,0,0,9.7,9.7,9.7,9.7,0,0,0,0,0
118,0,0,0,0,1,100,0,9.4,0,0,0,0,0,0,0,9.4,9.4,9.4,9.4,0,0,0,0,0
118,0,0,0,0,1,100,0,9.1,0,0,0,0,0,0,0,9.1,9.1,9.1,9.1,0,0,0,0,0
118,0,0,0,0,1,100,0,9.1,0,0,0,0,0,0,0,9.1,9.1,9.1,9.1,0,0,0,0,0
118,0,0,0,0,1,100,0,9.7,0,0,0,0,0,0,0,9.7,9.7,9.7,9.7,0,0,0,0,0
320,0,0,0,0,1,100,0,9.4,0,0,0,0,0,0,0,9.4,9.4,9.4,9.4,0,0,0,0,0
118,0,0,0,0,1,100,0,11.8,0,0,0,0,0,0,0,11.8,11.8,11.8,11.8,0,0,0,0,0
118,0,0,0,0,1,100,0,11.2,0,0,0,0,0,0,0,11.2,11.2,11.2,11.2,0,0,0,0,0
118,0,0,0,0,1,100,0,10.3,0,0,0,0,0,0,0,10.3,10.3,10.3,10.3,0,0,0,0,0
118,0,0,0,0,1,100,0,4.5,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0,0,0,0,0
213,0,0,0,0,1,100,0,13.2,0,0,0,0,0,0,0,13.2,13.2,13.2,13.2,0,0,0,0,0
309,0,0,0,0,1,100,0,148.3,0,0,0,0,0,0,0,148.3,148.3,148.3,148.3,0,0,0,0,0
317,0,0,0,0,1,100,0,799.1,0,0,0,0,0,0,0,799.1,799.1,799.1,799.1,0,0,0,0,0
303,0,0,0,0,1,100,0,847,0,0,0,0,0,0,0,847,847,847,847,0,0,0,0,0
122,0,0,0,0,1,100,0,713.5,0,0,0,0,0,0,0,713.5,713.5,713.5,713.5,0,0,0,0,0
313,0,0,0,0,1,100,0,50,0,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0
